Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
M6460,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,1713479,2698141,2952338,24710,1214149,24450,,,,,11.5,10.5,1,,,,,,,,,,0.589,47
M6283,CULVERT,Major Culvert,Culvert Major,12/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,12/29/2015,1128120,1859444,1980450,37870,814460,24450,,,,,18,4.5,0,,,,,,,,,,0.589,47
M6284,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,696029,1142984,1210275,16520,497726,24450,,,,,9,5.5,0,,,,,,,,,,0.589,47
M6290,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,1113841,1818383,1925438,19760,791836,24450,,,,,17.5,4.5,0,,,,,,,,,,0.589,47
M6291,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,1067510,1772891,1882650,40900,774240,24450,,,,,14,5.5,0,,,,,,,,,,0.589,47
M6292,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,818786,1340691,1467000,44910,603304,24450,,,,,12,5,0,,,,,,,,,,0.589,47
M6266,BRIDGE,Bridge,Bridge,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,5665898,10218408,10760750,37300,5057552,30100,65,5.5,0,,,,,,,,,,,,,1,0.53,47
M6289,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,521510,1075430,1112475,133460,457505,24450,,,,,7,6.5,0.3,,,,,,,,,,0.589,47
M6265,BRIDGE,Bridge,Bridge,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,6474384,11814129,12280800,34440,5771976,30100,48,8.5,0,,,,,,,,,,,,,1,0.53,47
M6286,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,590827,981306,1026900,13760,422313,24450,,,,,7,6,0,,,,,,,,,,0.589,47
M6288,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,841386,1324408,1467000,22310,603304,24450,,,,,10,6,0,,,,,,,,,,0.589,47
M6287,CULVERT,Major Culvert,Culvert Major,11/22/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/22/2015,912611,1545069,1589250,23060,653579,24450,,,,,10,6.5,0.15,,,,,,,,,,0.589,47
M6285,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/29/2015,808806,1267341,1467000,54890,603304,24450,,,,,10,6,0,,,,,,,,,,0.589,47
M6259,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,7884347,14212599,15238130,191860,7161918,30100,40.5,12.5,0,,,,,,,,,,,,,1,0.53,47
M6458,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,1549287,2411525,2671163,23360,1098516,24450,,,,,9.5,11.5,0.5,,,,,,,,,,0.589,47
M6459,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,1544739,2621223,2903438,164660,1194039,24450,,,,,12.5,9.5,0.5,,,,,,,,,,0.589,47
M6256,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,5329415,9994765,10083500,14840,4739245,30100,33.5,10,0,,,,,,,,,,,,,1,0.53,47
M6457,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,1834397,2851518,3300750,108920,1357433,24450,,,,,30,4.5,0,,,,,,,,,,0.589,47
M6258,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,6977070,12440089,13244000,42250,6224680,30100,80,5.5,0,,,,,,,,,,,,,1,0.53,47
M6257,BLINKWATER RIVER,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,1005462,1863599,1926400,15530,905408,30100,8,8,0,,,,,,,,,,,,,1,0.53,47
M6255,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,4194922,7528419,7946400,16670,3734808,30100,33,8,0,,,,,,,,,,,,,1,0.53,47
M6280,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,462909,744979,825187.5,22920,339358,24450,,,,,7.5,4.5,0,,,,,,,,,,0.589,47
M6474,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,1240304,1916958,2347200,141610,965286,24450,,,,,12,8,0,,,,,,,,,,0.589,47
M6260,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,12320391,22294709,23478000,122950,11034659,30100,60,13,0,,,,,,,,,,,,,1,0.53,47
M6473,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,2827179,4654367,4842750,23990,1991581,29350,,,,,15,11,5,,,,,,,,,,0.589,47
M6472,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,2908486,4936997,4964800,14540,2041774,34240,,,,,14.5,10,8,,,,,,,,,,0.589,47
M6471,BRIDGE,Bridge,Bridge,11/28/2015,,,GS: Gert Sibande District Municipality,6/30/2022,11/28/2015,6498064,12280800,12280800,10760,5771976,30100,24,17,0,,,,,,,,,,,,,1,0.53,47
